iter	Logloss
0	0.6231890662
1	0.5765564693
2	0.5292834237
3	0.4953865493
4	0.462877538
5	0.4310242764
6	0.4161531082
7	0.3904248563
8	0.3718927837
9	0.3586600087
10	0.3461139493
11	0.3345119172
12	0.3257533162
13	0.3179529223
14	0.3090136539
15	0.3024284706
16	0.2931162656
17	0.2881237972
18	0.2836842883
19	0.2773441704
20	0.2694469553
21	0.2661446676
22	0.2619335781
23	0.2592686845
24	0.2556885158
25	0.251743173
26	0.2486951143
27	0.245445903
28	0.2428874987
29	0.2402787642
30	0.2381372653
31	0.2354032378
32	0.2331066289
33	0.2310606341
34	0.2283155373
35	0.2233774064
36	0.2221597719
37	0.2211872448
38	0.2183557656
39	0.216391207
40	0.2148355671
41	0.2134712296
42	0.2124289661
43	0.2107315834
44	0.2096815714
45	0.2068221808
46	0.2055455568
47	0.2044189005
48	0.2033584357
49	0.2024131334
50	0.2005218702
51	0.1998242955
52	0.1986261793
53	0.1973430259
54	0.1963066893
55	0.1951861561
56	0.193414259
57	0.191548189
58	0.1909204628
59	0.1892540461
60	0.1880723937
61	0.1869672034
62	0.1861651712
63	0.1851781139
64	0.1835182687
65	0.1825079519
66	0.1811712036
67	0.1782960918
68	0.1775286406
69	0.176437476
70	0.1750044109
71	0.1741947283
72	0.1728397646
73	0.1721261325
74	0.1713508487
75	0.1697639346
76	0.1685332551
77	0.167628713
78	0.1668226174
79	0.1651738275
80	0.1643716271
81	0.1637435507
82	0.1629981399
83	0.1621925067
84	0.1611173155
85	0.1603198791
86	0.1597265378
87	0.1591518742
88	0.1587511383
89	0.1580670289
90	0.1569183882
91	0.1560466616
92	0.1553894547
93	0.1547089604
94	0.1539056111
95	0.1532495252
96	0.1513196176
97	0.1507590218
98	0.1495159979
99	0.1486718464
100	0.1474155955
101	0.146718203
102	0.1459369642
103	0.1454294448
104	0.1450777641
105	0.143542147
106	0.1422542015
107	0.1408692807
108	0.1404242678
109	0.1395056018
110	0.1391746304
111	0.1381828091
112	0.1372710929
113	0.1362383013
114	0.1347509687
115	0.1343006032
116	0.1339071114
117	0.133331523
118	0.1320098653
119	0.1315707512
120	0.1310918719
121	0.1302821472
122	0.129500362
123	0.1287835772
124	0.1282712097
125	0.1277162606
126	0.1272111092
127	0.1268829542
128	0.1262138093
129	0.1257225016
130	0.125249395
131	0.1249170785
132	0.124154027
133	0.123618358
134	0.123086206
135	0.1226905564
136	0.1219309517
137	0.1213946382
138	0.1205604911
139	0.120037895
140	0.1195780296
141	0.1189417423
142	0.1182011096
143	0.1177181948
144	0.1171293723
145	0.1167539907
146	0.1160405547
147	0.1156735311
148	0.1152722207
149	0.1146544429
150	0.1141018898
151	0.1135642032
152	0.1130526904
153	0.1121831707
154	0.111773138
155	0.1113386268
156	0.1106376823
157	0.1099856458
158	0.1096104884
159	0.1093787411
160	0.1090907578
161	0.108291626
162	0.1078881928
163	0.1074871977
164	0.1069779129
165	0.1059485752
166	0.1057732532
167	0.1053241908
168	0.1050316747
169	0.1040306687
170	0.1036643176
171	0.1033705544
172	0.1030615885
173	0.1026509533
174	0.1018591146
175	0.1013551332
176	0.1011610846
177	0.10083707
178	0.1006088747
179	0.100003098
180	0.09962672154
181	0.09925169721
182	0.09891917051
183	0.09855438877
184	0.09757791735
185	0.09726872019
186	0.09695929185
187	0.09642873717
188	0.09598258923
189	0.09574097072
190	0.09514019618
191	0.09472713698
192	0.09404909468
193	0.09372740606
194	0.0928357127
195	0.09268223506
196	0.0924545162
197	0.09187756863
198	0.09137086194
199	0.09031517512
200	0.09001172979
201	0.08921419534
202	0.08859824609
203	0.08835711799
204	0.08812911889
205	0.08757276859
206	0.08728493935
207	0.08669768615
208	0.08648793735
209	0.08627881207
210	0.08599197065
211	0.08571495147
212	0.08516643374
213	0.08497557277
214	0.08450259935
215	0.08419577018
216	0.0839361676
217	0.08316533953
218	0.08284667044
219	0.08251017141
220	0.08175713825
221	0.08151255626
222	0.08114609311
223	0.08088223096
224	0.08061471874
225	0.07998007782
226	0.07956267498
227	0.07902678182
228	0.0788184412
229	0.07854913549
230	0.07816320302
231	0.07777369756
232	0.07730493467
233	0.07710213569
234	0.07648299877
235	0.07621253708
236	0.07581677538
237	0.07542958886
238	0.07499228934
239	0.07473614065
240	0.07444468236
241	0.07401290347
242	0.07357060876
243	0.07290866596
244	0.07286994451
245	0.07226214308
246	0.07177440829
247	0.07165310162
248	0.0714539457
249	0.07106431413
250	0.07100848434
251	0.07053700317
252	0.07003325996
253	0.06987026134
254	0.06978249178
255	0.06943153963
256	0.06930250548
257	0.0690402897
258	0.06870492562
259	0.068450052
260	0.06813180326
261	0.0679212698
262	0.06758563249
263	0.0672767436
264	0.06685113688
265	0.06641898668
266	0.06611863093
267	0.06585347269
268	0.06542240139
269	0.06510900072
270	0.06471684003
271	0.06421167463
272	0.06409814448
273	0.06377422799
274	0.06350871245
275	0.06332508154
276	0.06305649042
277	0.06277901586
278	0.06262868386
279	0.06259765485
280	0.06246511776
281	0.06221181346
282	0.06211167853
283	0.06192379506
284	0.06175255754
285	0.06135211591
286	0.06064878241
287	0.06025054063
288	0.06008866295
289	0.0599250268
290	0.05974163409
291	0.05968849455
292	0.05954432072
293	0.05911948464
294	0.05890335349
295	0.058596132
296	0.0583472519
297	0.05803154279
298	0.05786826394
299	0.05782835149
300	0.05754852996
301	0.05713606625
302	0.05707696822
303	0.056655537
304	0.05641355068
305	0.05636975697
306	0.05613225792
307	0.05606634667
308	0.05599285858
309	0.0558025826
310	0.05558064358
311	0.05553949109
312	0.05537941392
313	0.05512485907
314	0.05481431329
315	0.05435144234
316	0.05425605739
317	0.05405479971
318	0.05397411308
319	0.05366104168
320	0.05332905443
321	0.05326080322
322	0.05305315618
323	0.05292913474
324	0.05267253767
325	0.05246235451
326	0.05236572252
327	0.05213722951
328	0.05198909385
329	0.05192249953
330	0.05173414666
331	0.05146045877
332	0.05141250708
333	0.05120443269
334	0.05098032185
335	0.05087781193
336	0.05074267917
337	0.05049807266
338	0.05029188284
339	0.05010476301
340	0.04988863886
341	0.04958502189
342	0.04939667252
343	0.04917100989
344	0.04912891511
345	0.04896450831
346	0.04867412543
347	0.04842036924
348	0.04815174309
349	0.04806623292
350	0.04755667134
351	0.04752582448
352	0.04740012863
353	0.04724265415
354	0.04680562435
355	0.04660876285
356	0.04649002734
357	0.04645091005
358	0.04636158168
359	0.04625234963
360	0.04597113043
361	0.0458140833
362	0.04576964155
363	0.04552007838
364	0.04533754739
365	0.04518911749
366	0.04515397253
367	0.04501885729
368	0.04490118316
369	0.04486408356
370	0.04476790345
371	0.04466361054
372	0.04449439421
373	0.04445316816
374	0.04419154788
375	0.04403722253
376	0.04380126126
377	0.04368927941
378	0.0435563535
379	0.04353385414
380	0.0432993571
381	0.04324488644
382	0.04304602477
383	0.04284056356
384	0.04275361018
385	0.04265194097
386	0.04254492978
387	0.04239294439
388	0.04233165002
389	0.04226237596
390	0.04215426484
391	0.04207184777
392	0.04200330582
393	0.04187555374
394	0.04160325652
395	0.04157563937
396	0.04148754754
397	0.04116212479
398	0.04107166847
399	0.04093744648
400	0.040832481
401	0.04075856555
402	0.0405871809
403	0.04040991833
404	0.0401588489
405	0.04013812203
406	0.03999024208
407	0.03983556994
408	0.03977903956
409	0.03975923396
410	0.03955923033
411	0.03948249502
412	0.03945285317
413	0.03921347654
414	0.03918071008
415	0.03901030976
416	0.03897518582
417	0.03891222755
418	0.03876117745
419	0.03851492105
420	0.03836188829
421	0.03810051672
422	0.0378692739
423	0.0378475557
424	0.03782408603
425	0.03779293442
426	0.03765912577
427	0.03763432849
428	0.03761574541
429	0.03759279417
430	0.03745646691
431	0.03728316266
432	0.03697999056
433	0.03688707518
434	0.03673743676
435	0.03657768537
436	0.03647985187
437	0.03643841564
438	0.03632153318
439	0.0361628782
